Month,Year,Site,Flow intermittence (%),Halacaridae,Oribatidae,Hydra,Antiporus strigosulus,Liodessus plicatus,Elmidae,Hydrophilidae,Ptilodactylidae,Scritidae,Paracalliope,Paracrangonyx,Paraleptamphopus,Phreatogammarus,Cladocera,Cyclopoida,Harpacticoida,Janiridae,Ostracoda,Syncarida,Chironomus,Corynoneura,Cricotopus,Eukiefferiella,Maoridiamesa,Naonella,Orthoclad. spA,Orthoclad. spC,Orthocladiinae,Pirara,Podonominae,Polypedilum,Stictocladius,Tanypodinae,Tanytarsini,Empididae,Ephydrella,Aphrophila,Eriopterini,Molophilus ,Paralimnophila skusei,Muscidae,Psychodidae,Austrosimulium,Coloburiscus humeralis,Atalophlebiodes cromwelli,Deleatidium ,Neozephlebia scita,Sigara,Saldidae,Glossiphonidae,Archichauliodes diversus,Gyraulus,Lymnaea,Physa,Potamopyrgus antipodarum,Nematoda,Enchytraeidae,Haplotaxidae,Lumbriculus,Naididae,Phreodrilidae,Tubificidae,Stenoperla prasina,Zelandobius,Zelandoperla,Tardigrada,Beraeoptera roria,Olinga feredayi,Pycnocentria,Pycnocentrodes,Helicopsyche,Costachorema psarapterum,Costachorema xanthoptera,Hydrobiosis charadraea,Hydrobiosis clavigera,Hydrobiosis parumbripenni,Hydrobiosis umbripennis,Neurochorema confusum,Psilochorema bidens,Psilochorema leptoharpax,Psilochorema macroharpax,Aoteapsyche catherinae,Aoteapsyche colonica,Aoteapsyche raruraru,Oxyethira albiceps,Hudsonema amabilis,Triplectides,Polyplectropus,Platyhelminthes,,
May,2004,Coalgate,0,0,0,0,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71,22,28,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,29,76,0,299,26,0,0,0,25,0,0,0,96,0,0,0,0,0,0,0,22,0,0,0,0,924,13,447,0,0,3,0,0,2,0,0,23,0,1,0,127,2,0,0,0,0,0,,
May,2004,Coalgate,0,2,0,0,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,42,34,0,315,12,0,0,0,13,0,0,0,213,0,0,0,0,0,0,0,12,0,0,0,0,1244,10,580,0,0,1,0,2,2,0,0,13,0,0,0,43,0,0,0,0,0,0,,
May,2004,Coalgate,0,1,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,8,32,1,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,36,31,0,191,4,0,0,0,10,0,0,0,104,0,0,0,0,1,0,0,7,0,0,0,0,728,18,430,0,0,1,0,0,2,1,0,26,0,0,0,34,0,0,1,1,0,0,,
June,2004,Coalgate,0,1,0,0,22,0,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,212,47,45,2,0,0,0,0,0,3,0,10,1,0,0,0,0,0,1,0,21,14,0,233,2,0,0,0,23,0,0,0,116,0,0,0,0,0,0,0,21,0,1,0,0,1273,8,170,0,0,4,0,0,7,2,1,16,0,1,0,40,0,0,1,0,0,0,,
June,2004,Coalgate,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,558,36,57,1,0,1,1,1,0,0,1,4,0,0,0,0,0,0,0,0,26,12,0,356,0,0,0,0,13,0,0,0,166,0,0,0,0,0,0,0,29,0,0,0,0,992,18,218,0,0,3,0,0,4,0,7,27,0,3,0,26,0,0,0,0,0,0,,
June,2004,Coalgate,0,0,0,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,362,19,46,2,0,1,1,0,0,7,2,12,0,0,0,1,0,0,1,0,10,10,0,337,0,0,0,0,15,0,0,0,292,0,0,0,0,0,0,0,13,0,0,0,0,1030,19,395,0,0,1,0,0,1,1,2,56,0,2,0,26,0,0,4,0,0,0,,
July,2004,Coalgate,0,0,0,0,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,264,94,89,2,0,2,2,0,0,1,0,23,0,0,7,0,0,0,0,0,48,48,0,473,7,0,0,0,12,0,0,0,81,0,0,0,0,0,0,0,7,0,0,0,0,812,12,192,1,0,4,0,0,2,1,6,25,0,2,0,64,0,0,0,0,0,0,,
November,2003,Scotts Road,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,52,3,15,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,19,6,0,126,1,0,0,0,1,0,0,0,0,0,0,0,0,228,0,1,2,0,0,0,0,64,0,0,0,0,0,0,3,3,3,0,1,0,1,0,1,0,0,0,0,0,0,,
November,2003,Scotts Road,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,,
November,2003,Scotts Road,7,10,3,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,0,0,0,0,,
November,2003,Scotts Road,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,1,0,4,0,3,0,3,0,0,0,0,0,0,,
November,2003,Scotts Road,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,116,7,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39,2,9,0,0,0,0,1,3,7,0,2,0,1,0,4,0,0,0,0,0,0,,
February,2004,Scotts Road,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
February,2004,Scotts Road,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,,
April,2004,Scotts Road,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,
April,2004,Scotts Road,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,,
May,2004,Scotts Road,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,182,51,43,1,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,2,14,0,0,24,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,7,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,,
May,2004,Scotts Road,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,170,6,48,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,19,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,
June,2004,Scotts Road,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,113,58,63,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,17,0,0,36,0,0,0,0,1,0,0,9,4,0,0,0,1,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,7,0,3,3,1,0,0,0,1,6,0,0,0,,
June,2004,Scotts Road,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,99,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,112,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,,
July,2004,Scotts Road,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,160,32,79,3,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,255,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,3,2,1,1,0,0,0,1,0,0,0,,
July,2004,Scotts Road,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,127,16,63,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127,0,0,110,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,
August,2004,Scotts Road,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,35,1,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,20,3,0,0,0,3,0,0,1,2,0,0,0,2,3,0,0,2,0,0,0,0,2,4,1,0,0,1,0,0,2,0,1,2,1,0,1,1,0,0,5,0,0,0,,
September,2004,Scotts Road,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,275,14,6,1,0,6,5,0,0,0,0,1,0,0,2,0,0,0,0,0,9,2,0,179,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,1,0,1,9,1,0,0,3,0,0,0,0,0,0,,
October,2004,Scotts Road,7,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,93,26,21,0,0,0,0,0,0,1,1,1,0,0,1,4,0,0,0,0,73,3,0,457,0,0,0,0,1,0,0,0,1,0,2,0,2,6,0,0,1,0,0,0,0,1,1,7,0,0,1,0,1,1,2,1,20,11,0,1,2,0,0,1,0,0,0,,
November,2003,Hawkins,69,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,51,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Hawkins,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,1,67,1,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,,
November,2003,Bealey,83,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,200,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69,4,0,109,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,4,8,0,1,0,0,0,0,0,0,0,0,0,0,,
October,2004,Bealey,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327,0,3,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Waterford,85,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,28,75,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,131,0,0,44,0,0,0,0,0,0,0,0,0,0,2,1,0,136,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,1,2,1,0,0,0,0,2,0,0,0,0,0,0,,
August,2004,Waterford,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,
October,2004,Waterford,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,4,52,0,0,78,0,0,30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
November,2003,Gillanders,80,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,,
October,2004,Gillanders,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,62,1,19,0,0,5,1,0,2,0,0,0,0,0,0,2,4,0,0,0,87,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,,
July,2004,Hororata,63,0,0,0,0,0,0,0,0,0,4,3,11,12,0,0,0,0,0,0,0,5,1,71,5,1,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
August,2004,Hororata,63,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,112,0,0,0,0,0,0,0,0,2,0,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,,
September,2004,Hororata,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,82,22,8,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,217,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Ridgens,72,0,0,0,0,0,3,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,7,236,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,356,0,0,0,0,0,0,0,0,0,0,0,1,0,58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,
March,2004,Ridgens,72,0,0,0,0,0,45,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,1,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,1168,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,32,0,1,0,1,0,0,0,0,0,0,0,0,,
July,2004,Ridgens,72,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,43,71,0,13,9,0,152,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,
August,2004,Ridgens,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,,
October,2004,Ridgens,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,12,291,8,26,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,,
November,2003,Westernras,83,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,84,0,0,0,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2004,Westernras,83,1,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,4,0,0,10,2,71,0,79,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,212,0,0,0,0,0,0,0,0,0,1,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,0,2,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,262,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,33,12,26,0,303,2,0,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
October,2004,Old South Road,84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,55,16,35,0,182,1,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,54,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,49,13,142,0,237,2,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
October,2004,Old South Road,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,48,16,93,0,411,3,0,48,2,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
November,2003,Highfield,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10,200,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,,
October,2004,Highfield,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,25,0,6,3,0,227,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
