Site,Replicate,Season,Year,Nemertean,Donacidae,Dreissenidae,Mactridae,Mytilidae,Solenidae,Solecurtidae,Pharidae,Tellinidae,Veneridae,Ampharetidae,Bogueidae,Cossuridae,Cirratulidae,Capitellidae,Goniadidae,Hesionidae,Nephtyidae,Nereidae,Onuphidae,Orbiniidae,Phyllodocidae,Pilargidae,Pisionidae,Poecilochaetidae,Sabellaridae,Spionidae,Syllidae,Trochochaetidae,Tubificidae,Cypraeidae,Cochliopidae,Nassariidae,Neritidae,Olividae,Pyramidellidae,Anthuridae,Ancinidae,Leuconidae,Anamixidae,Ampeliscidae,Colomastigidae,Corophidae,Dexaminidae,Gammariidae,Haustoriidae,Ischyroceridae,Lysianassidae,Liljeborgiidae,Megaluropidae,Melitidae,Mysidae,Paguridae,Upogebiidae,Panopeidae,Peneaidae,Portunidae,Nematode,unknown amphipod,unknown decapod,unknown polychaete,Chironimidae,Anisoptera,Bug1,hipporiff,Coordinates (DMM),Temperature,Salinity,Salinity_class,Dissolved Oxygen,pH,abundance,richness,Site,Replicate,Season,Year,DF,SF,DS,H,PA,PR,OM,GC,FC,SC,PI,U,hippogriff,percent_clay,percent_silt,percent_sand
4,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.894' W -90˚06.497',25,0.077,oligohaline,8.1,7.83,0,0,4,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,13.2297987,28.020749,58.7494746
4,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.894' W -90˚06.497',25,0.077,oligohaline,8.1,7.83,1,1,4,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,13.2297987,28.020749,58.7494746
5,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚33.928' W -90˚09.891',21.8,0.809,oligohaline,8.09,7.69,0,0,5,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1531299,17.753442,75.0934696
5,R2,Spring,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚33.928' W -90˚09.891',21.8,0.809,oligohaline,8.09,7.69,2,1,5,R2,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,1,7.1531299,17.753442,75.0934696
5,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚33.928' W -90˚09.891',21.8,0.809,oligohaline,8.09,7.69,0,0,5,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1531299,17.753442,75.0934696
6,R1,Spring,2021,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,3,2,6,R1,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388
6,R2,Spring,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,1,1,6,R2,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388
6,R3,Spring,2021,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.814' W -90˚02.512',23.9,5.203,mesohaline,8.38,7.89,3,3,6,R3,Spring,2021,0,2,0,0,0,1,0,0,0,0,0,0,1,8.6034726,18.342648,73.05388
7,R1,Spring,2021,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,3,1,7,R1,Spring,2021,0,3,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576
7,R2,Spring,2021,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,2,2,7,R2,Spring,2021,0,2,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576
7,R3,Spring,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.772' W -90˚00.640',24.1,5.897,mesohaline,8.01,7.79,2,2,7,R3,Spring,2021,1,1,0,0,0,0,0,0,0,0,0,0,1,10.7061448,23.779207,65.5146576
8,R1,Spring,2021,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,6,2,8,R1,Spring,2021,0,6,0,0,0,0,0,0,0,0,0,0,1,1.34263434,0.924597,97.73277001
8,R2,Spring,2021,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,15,3,8,R2,Spring,2021,0,7,0,0,0,1,7,0,0,0,0,0,1,1.34263434,0.924597,97.73277001
8,R3,Spring,2021,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.422' W -89˚54.405',19.5,25.03,polyhaline,15.22,8.7,10,4,8,R3,Spring,2021,0,8,0,0,0,1,1,0,0,0,0,0,1,1.34263434,0.924597,97.73277001
9,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,11,1,9,R1,Spring,2021,0,11,0,0,0,0,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596
9,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,9,1,9,R2,Spring,2021,0,9,0,0,0,0,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596
9,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚16.169' W -89˚57.383',19.9,23.69,polyhaline,12.41,8.53,6,3,9,R3,Spring,2021,0,5,0,0,0,1,0,0,0,0,0,0,1,1.07258349,0.5332591,98.39410596
10,R1,Spring,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,3,4,10,R1,Spring,2021,7,2,0,0,0,1,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455
10,R2,Spring,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,10,2,10,R2,Spring,2021,2,1,0,0,0,0,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455
10,R3,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.776' W -90˚00.969',21,23.22,polyhaline,11.77,8.58,7,2,10,R3,Spring,2021,5,2,0,0,0,0,0,0,0,0,0,0,1,14.3438078,24.499875,61.15632455
11,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.287' W -90˚'02.707',25.8,14.07,mesohaline,8.04,7.76,0,0,11,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,21.93301,39.93597,38.13103378
11,R2,Spring,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.287' W -90˚'02.707',25.8,14.07,mesohaline,8.04,7.76,2,2,11,R2,Spring,2021,1,1,0,0,0,0,0,0,0,0,0,0,1,21.93301,39.93597,38.13103378
11,R3,Spring,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.287' W -90˚'02.707',25.8,14.07,mesohaline,8.04,7.76,1,1,11,R3,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,21.93301,39.93597,38.13103378
12,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.212' W -90˚08.380',24.1,14.26,mesohaline,8.59,8.39,4,4,12,R1,Spring,2021,6,2,0,0,0,2,0,0,0,0,0,0,1,13.249841,25.719914,61.030235
12,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.212' W -90˚08.380',24.1,14.26,mesohaline,8.59,8.39,8,2,12,R2,Spring,2021,5,0,0,0,0,3,0,0,0,0,0,0,1,13.249841,25.719914,61.030235
12,R3,Spring,2021,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚17.212' W -90˚08.380',24.1,14.26,mesohaline,8.59,8.39,10,2,12,R3,Spring,2021,2,0,0,0,0,0,1,0,0,0,0,0,1,13.249841,25.719914,61.030235
13,R1,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚19.412' W -89˚50.460',20,25.19,polyhaline,13.58,8.57,1,1,13,R1,Spring,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99.9999102
13,R2,Spring,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚19.412' W -89˚50.460',20,25.19,polyhaline,13.58,8.57,5,4,13,R2,Spring,2021,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,99.9999102
13,R3,Spring,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,N 29˚19.412' W -89˚50.460',20,25.19,polyhaline,13.58,8.57,6,5,13,R3,Spring,2021,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,99.9999102
14,R1,Spring,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚19.201' W -89˚50.253',18.2,15.5,mesohaline,16.79,8.68,4,3,14,R1,Spring,2021,0,1,0,0,0,1,2,0,0,0,0,0,1,12.0239185,20.779487,67.19659609
14,R2,Spring,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚19.201' W -89˚50.253',18.2,15.5,mesohaline,16.79,8.68,1,1,14,R2,Spring,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,12.0239185,20.779487,67.19659609
14,R3,Spring,2021,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚19.201' W -89˚50.253',18.2,15.5,mesohaline,16.79,8.68,10,4,14,R3,Spring,2021,0,6,0,0,0,2,2,0,0,0,0,0,1,12.0239185,20.779487,67.19659609
15,R1,Spring,2021,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚15.280' W -89˚58.607',20.3,27.84,polyhaline,10.48,8.47,33,5,15,R1,Spring,2021,5,8,0,0,0,49,0,0,0,0,0,0,1,15.0178421,24.425314,60.55683939
15,R2,Spring,2021,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚15.280' W -89˚58.607',20.3,27.84,polyhaline,10.48,8.47,62,4,15,R2,Spring,2021,3,4,0,0,0,26,0,0,0,0,0,0,1,15.0178421,24.425314,60.55683939
15,R3,Spring,2021,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚15.280' W -89˚58.607',20.3,27.84,polyhaline,10.48,8.47,49,4,15,R3,Spring,2021,4,7,0,0,0,38,0,0,0,0,0,0,1,15.0178421,24.425314,60.55683939
2,R1,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.916' W -89˚56.979',25.5,16.34,mesohaline,6.65,7.49,0,0,2,R1,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257
2,R2,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.916' W -89˚56.979',25.5,16.34,mesohaline,6.65,7.49,1,1,2,R2,Fall,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257
2,R3,Fall,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.916' W -89˚56.979',25.5,16.34,mesohaline,6.65,7.49,1,1,2,R3,Fall,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,13.176932,28.531268,58.29178257
3,R1,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.561' W -89˚56.875',24.7,16.37,mesohaline,5.98,7.42,0,0,3,R1,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,17.3749792,29.500928,53.12412292
3,R2,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.561' W -89˚56.875',24.7,16.37,mesohaline,5.98,7.42,0,0,3,R2,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,1,17.3749792,29.500928,53.12412292
3,R3,Fall,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚28.561' W -89˚56.875',24.7,16.37,mesohaline,5.98,7.42,1,1,3,R3,Fall,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,17.3749792,29.500928,53.12412292
4,R1,Fall,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,N 29˚29.767' W -90˚06.375',22.7,16.09,mesohaline,7.76,7.91,2,2,4,R1,Fall,2020,0,0,0,0,0,1,0,0,0,0,0,1,1,13.2297987,28.020749,58.7494746
4,R2,Fall,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N 29˚29.767' W -90˚06.375',22.7,16.09,mesohaline,7.76,7.91,3,2,4,R2,Fall,2020,0,1,0,0,2,0,0,0,0,0,0,0,1,13.2297987,28.020749,58.7494746
